split,WELL_GROUP_NAME,LIQ_PROD_DAILY,OIL_PROD_DAILY,WATER_CUT,WH_TEMP,MAX_TUBING_PRES
test,G038,0.18478260869565216,0.18478260869565216,0.18478260869565216,0.18478260869565216,0.0
test,G039,0.05434782608695652,0.05434782608695652,0.05434782608695652,0.05434782608695652,0.0
test,G040,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.0
test,G041,0.20652173913043478,0.20652173913043478,0.20652173913043478,0.20652173913043478,0.0
test,G042,0.0,0.0,0.0,0.0,0.0
test,G043,0.0,0.0,0.0,0.0,0.0
test,G044,0.0,0.0,0.0,0.0,0.0
test,G045,0.0,0.0,0.0,0.0,0.0
test,G046,0.0,0.0,0.0,0.0,0.0
test,G047,0.09782608695652174,0.09782608695652174,0.09782608695652174,0.09782608695652174,0.021739130434782608
test,G048,0.05434782608695652,0.05434782608695652,0.05434782608695652,0.05434782608695652,0.0
test,G049,0.0,0.0,0.0,0.0,0.0
test,G050,0.03260869565217391,0.03260869565217391,0.03260869565217391,0.03260869565217391,0.0
test,G051,0.0,0.0,0.0,0.0,0.0
test,G052,0.0,0.0,0.0,0.0,0.0
test,G053,0.0,0.0,0.0,0.0,0.0
test,G054,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.0
test,G055,0.0,0.0,0.0,0.0,0.0
test,G056,0.5,0.5,0.5,0.5,0.0
test,G057,0.0,0.0,0.0,0.0,0.0
test,G058,0.0,0.0,0.0,0.0,0.0
test,G059,0.0,0.0,0.0,0.0,0.0
test,G060,0.1956521739130435,0.1956521739130435,0.1956521739130435,0.1956521739130435,0.03260869565217391
test,G061,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.0
test,G062,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.0
test,G063,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.0
test,G064,0.0,0.0,0.0,0.0,0.0
test,G065,0.07608695652173914,0.07608695652173914,0.07608695652173914,0.07608695652173914,0.0
test,G066,0.10869565217391304,0.10869565217391304,0.10869565217391304,0.10869565217391304,0.0
test,G067,0.0,0.0,0.0,0.0,0.0
test,G068,0.14130434782608695,0.14130434782608695,0.14130434782608695,0.14130434782608695,0.0
test,G069,0.0,0.0,0.0,0.0,0.0
test,G070,0.14130434782608695,0.14130434782608695,0.14130434782608695,0.14130434782608695,0.0
test,G071,0.1956521739130435,0.1956521739130435,0.1956521739130435,0.1956521739130435,0.010869565217391304
test,G072,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.043478260869565216
test,G073,0.10869565217391304,0.10869565217391304,0.10869565217391304,0.10869565217391304,0.0
test,G074,0.0,0.0,0.0,0.0,0.0
test,G075,0.09782608695652174,0.09782608695652174,0.09782608695652174,0.09782608695652174,0.0
test,G076,0.0,0.0,0.0,0.0,0.0
test,G077,0.0,0.0,0.0,0.0,0.0
test,G078,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.043478260869565216
test,G079,0.07608695652173914,0.07608695652173914,0.07608695652173914,0.07608695652173914,0.0
test,G080,0.0,0.0,0.0,0.0,0.0
test,G081,0.0,0.0,0.0,0.0,0.0
test,G082,0.0,0.0,0.0,0.0,0.0
test,G083,0.07608695652173914,0.07608695652173914,0.07608695652173914,0.07608695652173914,0.0
test,G084,0.07608695652173914,0.07608695652173914,0.07608695652173914,0.07608695652173914,0.0
test,G085,0.0,0.0,0.0,0.0,0.0
test,G086,0.05434782608695652,0.05434782608695652,0.05434782608695652,0.05434782608695652,0.0
test,G087,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.06521739130434782
test,G088,0.0,0.0,0.0,0.0,0.0
test,G089,0.11956521739130435,0.11956521739130435,0.11956521739130435,0.11956521739130435,0.010869565217391304
test,G090,0.11956521739130435,0.11956521739130435,0.11956521739130435,0.11956521739130435,0.010869565217391304
test,G091,0.09782608695652174,0.09782608695652174,0.09782608695652174,0.09782608695652174,0.0
test,G092,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.0
test,G093,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.010869565217391304
test,G094,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.021739130434782608
test,G095,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.010869565217391304
test,G096,0.16304347826086957,0.16304347826086957,0.16304347826086957,0.16304347826086957,0.021739130434782608
test,G097,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.010869565217391304
test,G098,0.10869565217391304,0.10869565217391304,0.10869565217391304,0.10869565217391304,0.10869565217391304
test,G099,0.15217391304347827,0.15217391304347827,0.15217391304347827,0.15217391304347827,0.15217391304347827
test,G100,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.22826086956521738
test,G101,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.0
test,G102,0.14130434782608695,0.14130434782608695,0.14130434782608695,0.14130434782608695,0.0
