split,WELL_GROUP_NAME,WELL_NAME,首日,末日,跨度天数,有记录天数,LIQ_PROD_DAILY_有效天数,LIQ_PROD_DAILY_跨度覆盖率,OIL_PROD_DAILY_有效天数,OIL_PROD_DAILY_跨度覆盖率,WATER_CUT_有效天数,WATER_CUT_跨度覆盖率,WH_TEMP_有效天数,WH_TEMP_跨度覆盖率,MAX_TUBING_PRES_有效天数,MAX_TUBING_PRES_跨度覆盖率
train,G055,W303,2025-03-01,2026-02-28,365,363,346,0.947945205479452,346,0.947945205479452,346,0.947945205479452,346,0.947945205479452,354,0.9698630136986301
train,G055,W349,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,363,0.9945205479452055
train,G055,W350,2025-03-01,2026-02-28,365,363,22,0.06027397260273973,22,0.06027397260273973,22,0.06027397260273973,22,0.06027397260273973,209,0.5726027397260274
train,G056,W304,2025-03-01,2025-12-31,306,306,0,0.0,0,0.0,0,0.0,0,0.0,305,0.9967320261437909
train,G056,W350,2025-03-01,2026-02-28,365,363,22,0.06027397260273973,22,0.06027397260273973,22,0.06027397260273973,22,0.06027397260273973,209,0.5726027397260274
train,G056,W351,2025-03-01,2026-02-28,365,363,320,0.8767123287671232,320,0.8767123287671232,320,0.8767123287671232,320,0.8767123287671232,320,0.8767123287671232
train,G057,W305,2025-03-01,2026-02-28,365,363,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055
train,G057,W351,2025-03-01,2026-02-28,365,363,320,0.8767123287671232,320,0.8767123287671232,320,0.8767123287671232,320,0.8767123287671232,320,0.8767123287671232
train,G058,W062,2025-03-01,2025-09-24,208,208,0,0.0,0,0.0,0,0.0,0,0.0,208,1.0
train,G058,W063,2025-03-01,2025-09-24,208,208,208,1.0,208,1.0,208,1.0,208,1.0,208,1.0
train,G058,W064,2025-03-01,2025-09-24,208,208,208,1.0,208,1.0,208,1.0,208,1.0,208,1.0
train,G058,W306,2025-03-01,2026-02-28,365,363,320,0.8767123287671232,320,0.8767123287671232,320,0.8767123287671232,320,0.8767123287671232,361,0.989041095890411
train,G059,W307,2025-03-01,2026-02-28,365,363,327,0.8958904109589041,327,0.8958904109589041,327,0.8958904109589041,327,0.8958904109589041,362,0.9917808219178083
train,G060,W308,2025-03-01,2026-02-28,365,363,334,0.915068493150685,334,0.915068493150685,334,0.915068493150685,334,0.915068493150685,361,0.989041095890411
train,G061,W309,2025-03-01,2026-02-28,365,363,154,0.42191780821917807,154,0.42191780821917807,154,0.42191780821917807,154,0.42191780821917807,360,0.9863013698630136
train,G062,W310,2025-03-01,2026-02-28,365,363,341,0.9342465753424658,341,0.9342465753424658,341,0.9342465753424658,341,0.9342465753424658,363,0.9945205479452055
train,G063,W311,2025-03-01,2026-02-28,365,363,316,0.8657534246575342,316,0.8657534246575342,316,0.8657534246575342,316,0.8657534246575342,363,0.9945205479452055
train,G064,W312,2025-03-01,2026-02-28,365,363,295,0.8082191780821918,295,0.8082191780821918,295,0.8082191780821918,295,0.8082191780821918,363,0.9945205479452055
train,G064,W335,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,340,0.9315068493150684
train,G064,W336,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,276,0.7561643835616438
train,G065,W031,2025-03-01,2025-08-31,184,184,0,0.0,0,0.0,0,0.0,0,0.0,126,0.6847826086956522
train,G065,W194,2025-03-01,2025-08-31,184,184,0,0.0,0,0.0,0,0.0,0,0.0,93,0.5054347826086957
train,G065,W313,2025-03-01,2026-02-28,365,363,292,0.8,292,0.8,292,0.8,292,0.8,362,0.9917808219178083
train,G066,W032,2025-03-01,2025-09-24,208,208,208,1.0,208,1.0,208,1.0,208,1.0,208,1.0
train,G066,W202,2025-03-01,2025-09-24,208,208,208,1.0,208,1.0,208,1.0,208,1.0,208,1.0
train,G066,W314,2025-03-01,2026-02-28,365,363,358,0.9808219178082191,358,0.9808219178082191,358,0.9808219178082191,358,0.9808219178082191,363,0.9945205479452055
train,G067,W315,2025-03-01,2026-02-28,365,363,262,0.7178082191780822,262,0.7178082191780822,262,0.7178082191780822,262,0.7178082191780822,363,0.9945205479452055
train,G067,W345,2025-03-01,2026-02-28,365,363,178,0.4876712328767123,178,0.4876712328767123,178,0.4876712328767123,178,0.4876712328767123,362,0.9917808219178083
train,G067,W346,2025-03-01,2026-02-28,365,363,353,0.9671232876712329,353,0.9671232876712329,353,0.9671232876712329,353,0.9671232876712329,363,0.9945205479452055
train,G068,W007,2025-03-01,2025-08-31,184,184,0,0.0,0,0.0,0,0.0,0,0.0,184,1.0
train,G068,W316,2025-03-01,2026-02-28,365,363,351,0.9616438356164384,351,0.9616438356164384,351,0.9616438356164384,351,0.9616438356164384,362,0.9917808219178083
train,G069,W177,2025-03-01,2025-08-31,184,184,0,0.0,0,0.0,0,0.0,0,0.0,184,1.0
train,G069,W317,2025-03-01,2026-02-28,365,363,308,0.8438356164383561,308,0.8438356164383561,308,0.8438356164383561,308,0.8438356164383561,362,0.9917808219178083
train,G070,W184,2025-03-01,2025-08-31,184,184,85,0.46195652173913043,85,0.46195652173913043,85,0.46195652173913043,85,0.46195652173913043,169,0.9184782608695652
train,G070,W185,2025-03-01,2025-08-31,184,184,0,0.0,0,0.0,0,0.0,0,0.0,136,0.7391304347826086
train,G070,W318,2025-03-01,2026-02-28,365,363,328,0.8986301369863013,328,0.8986301369863013,328,0.8986301369863013,328,0.8986301369863013,362,0.9917808219178083
train,G071,W188,2025-03-01,2025-08-31,184,184,0,0.0,0,0.0,0,0.0,0,0.0,184,1.0
